,carat,cut,color,clarity,depth,table,x,y,z,price
31877,0.3,Ideal,H,VVS2,62.2,57.0,4.29,4.26,2.66,776
44112,0.58,Ideal,G,VS2,61.2,55.0,5.4,5.45,3.32,1558
35315,0.37,Ideal,E,VVS2,62.5,53.0,4.59,4.63,2.88,896
6040,0.32,Very Good,G,VS2,61.9,56.0,4.36,4.39,2.71,576
8445,1.01,Premium,H,VS2,62.3,58.0,6.45,6.36,3.99,4412
14465,1.01,Premium,G,VS2,62.1,60.0,6.35,6.37,3.95,5839
26824,2.04,Ideal,I,SI1,60.2,56.0,8.19,8.26,4.95,16718
47682,0.56,Ideal,E,VS2,61.4,57.0,5.35,5.31,3.27,1882
15731,1.51,Fair,H,SI2,64.5,59.0,7.21,7.15,4.63,6291
52536,0.7,Ideal,H,VS1,61.6,55.0,5.73,5.76,3.54,2530
51351,0.71,Premium,F,SI2,60.6,58.0,5.77,5.72,3.48,2363
43948,0.31,Ideal,E,SI1,61.6,54.0,4.39,4.41,2.71,516
29874,0.3,Ideal,D,VS2,61.4,55.0,4.32,4.34,2.66,710
24067,2.0,Premium,H,SI2,58.9,57.0,8.09,58.9,8.06,12210
47718,0.52,Ideal,E,VS1,61.3,56.0,5.18,5.22,3.19,1886
43203,0.5,Premium,H,VS1,60.3,58.0,5.22,5.17,3.13,1395
18940,1.01,Premium,D,VS1,61.1,61.0,6.46,6.4,3.93,7785
21461,1.55,Very Good,E,SI2,59.5,56.0,7.56,7.59,4.51,9557
22975,1.33,Good,D,VS2,63.6,58.0,7.02,6.91,4.43,11023
38008,0.42,Premium,H,SI1,60.5,58.0,4.85,4.83,2.93,1008
30571,0.31,Ideal,D,VS2,61.2,55.0,4.35,4.38,2.67,734
9042,0.27,Ideal,I,IF,60.5,57.0,4.2,4.22,2.55,587
32594,0.3,Ideal,F,VVS1,62.4,54.0,4.31,4.35,2.7,802
15411,1.23,Premium,E,SI2,62.4,60.0,6.82,6.78,4.24,6172
49177,0.72,Good,G,SI1,64.0,59.0,5.63,5.59,3.59,2074
23915,1.02,Ideal,E,VVS1,62.2,58.0,6.42,6.44,4.0,12035
9285,0.91,Good,H,VS1,57.8,61.0,6.4,6.36,3.69,4566
44492,0.53,Ideal,G,VS2,60.9,57.0,5.25,5.26,3.2,1598
30376,0.45,Very Good,F,SI2,61.5,61.0,4.9,4.95,3.03,729
11159,1.02,Good,F,SI1,63.3,58.0,6.35,6.39,4.03,4948
33238,0.33,Ideal,F,VVS2,61.4,57.0,4.43,4.46,2.73,824
48965,0.34,Very Good,H,VS2,61.9,56.0,4.46,4.49,2.77,537
26208,1.89,Very Good,D,SI2,62.7,58.0,7.75,7.81,4.88,15594
15189,1.1,Premium,E,SI1,60.7,55.0,6.75,6.66,4.07,6098
39637,0.34,Premium,G,IF,62.3,59.0,4.49,4.46,2.79,1084
2689,0.74,Ideal,F,VS2,60.8,57.0,5.85,5.87,3.56,3246
8192,1.04,Premium,I,SI1,62.0,57.0,6.5,6.47,4.02,4368
8655,1.02,Premium,H,SI2,62.7,59.0,6.41,6.34,4.0,4455
19481,1.67,Premium,H,SI2,62.6,60.0,7.57,7.52,4.72,8118
32674,0.31,Ideal,G,VS1,62.5,57.0,4.37,4.34,2.72,802
25507,1.26,Ideal,E,VVS2,61.1,57.0,7.0,6.98,4.27,14300
40227,0.4,Ideal,G,VVS1,61.6,57.0,4.75,4.76,2.93,1123
53152,0.71,Good,G,VS2,64.2,58.0,5.62,5.59,3.6,2623
43293,0.55,Very Good,D,SI2,59.7,64.0,5.26,5.32,3.16,1401
22272,1.1,Very Good,F,VVS1,62.2,59.0,6.56,6.69,4.12,10329
2513,0.9,Ideal,E,SI2,62.6,56.0,6.15,6.06,3.82,3200
28597,0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,675
27654,2.01,Ideal,G,VS2,61.4,54.0,8.16,8.09,4.99,18607
22314,1.59,Very Good,H,SI1,62.2,58.0,7.45,7.48,4.64,10356
12951,1.01,Ideal,H,SI1,61.2,57.0,6.42,6.47,3.95,5387
15663,1.2,Premium,H,SI1,60.8,60.0,6.9,6.85,4.18,6282
51460,0.7,Premium,E,SI2,62.0,60.0,5.72,5.67,3.53,2376
18435,1.37,Ideal,I,VS2,61.3,56.0,7.15,7.18,4.39,7500
50159,0.57,Ideal,G,VVS1,61.9,57.0,5.31,5.35,3.3,2217
39394,0.41,Ideal,I,IF,62.6,57.0,4.78,4.74,2.98,1076
26535,2.58,Premium,H,SI2,62.6,57.0,8.77,8.73,5.48,16195
29400,0.34,Ideal,E,VS1,62.2,57.0,4.46,4.51,2.79,698
39609,0.35,Ideal,E,SI2,61.7,56.0,4.53,4.55,2.8,491
11158,1.21,Premium,D,SI2,59.7,58.0,7.06,6.96,4.19,4946
16484,1.01,Ideal,G,VS2,62.1,58.0,6.38,6.43,3.98,6587
23109,1.1,Very Good,D,VVS2,61.7,56.0,6.64,6.65,4.1,11132
47445,0.59,Very Good,E,VS2,61.7,60.0,5.36,5.4,3.32,1857
52281,0.84,Ideal,J,SI1,61.8,56.0,6.04,6.07,3.74,2493
32649,0.31,Premium,H,VVS2,61.4,58.0,4.37,4.32,2.67,802
27708,0.32,Ideal,H,VS2,62.5,55.0,4.42,4.38,2.75,648
19777,1.02,Ideal,D,VS1,62.6,57.0,6.4,6.44,4.02,8347
16921,1.34,Premium,I,VS2,61.8,59.0,7.07,7.04,4.36,6754
4412,1.01,Very Good,I,SI1,58.8,58.0,6.52,6.57,3.85,3610
308,0.83,Ideal,G,SI1,62.3,57.0,5.99,6.08,3.76,2800
50596,0.71,Premium,G,SI1,62.3,56.0,5.69,5.65,3.53,2283
12542,1.3,Good,J,VS2,63.6,59.0,6.9,6.87,4.38,5269
40482,0.52,Ideal,J,VS2,61.6,57.0,5.16,5.19,3.19,1141
7050,0.33,Ideal,E,SI1,62.5,55.0,4.42,4.45,2.77,579
14760,1.01,Very Good,G,VS2,63.1,57.0,6.39,6.35,4.02,5939
1528,0.87,Premium,F,SI2,61.6,58.0,6.14,6.1,3.77,2999
36102,0.4,Ideal,G,SI2,62.1,55.0,4.73,4.74,2.94,926
9528,1.01,Very Good,H,SI1,60.2,60.0,6.5,6.48,3.91,4617
1530,0.7,Premium,G,VVS2,60.6,60.0,5.77,5.69,3.47,2999
1166,0.81,Premium,F,SI1,61.3,60.0,6.0,5.94,3.66,2926
46960,0.36,Premium,J,SI1,61.6,60.0,4.58,4.54,2.81,527
29401,0.4,Very Good,G,SI1,62.9,57.0,4.69,4.72,2.96,699
7133,1.0,Ideal,I,SI1,62.7,56.0,6.33,6.37,3.98,4174
2242,1.0,Fair,F,SI2,65.5,56.0,6.3,6.19,4.09,3146
26788,1.52,Premium,E,VS1,62.4,55.0,7.41,7.33,4.6,16636
18863,1.55,Premium,J,VS1,61.6,58.0,7.39,7.42,4.56,7733
12379,0.39,Very Good,G,SI2,63.2,57.0,4.65,4.57,2.92,597
21553,2.01,Premium,I,SI2,62.1,60.0,8.1,8.03,5.01,9658
28764,0.31,Premium,E,VS2,60.8,58.0,4.35,4.37,2.65,680
45860,0.8,Fair,G,I1,64.5,57.0,5.86,5.83,3.77,1715
6217,0.7,Very Good,D,VS1,59.3,55.0,5.86,5.83,3.47,4003
24039,0.38,Premium,H,SI1,59.7,60.0,4.66,4.68,2.79,633
22784,1.27,Ideal,G,VVS1,61.7,56.0,6.9,7.03,4.3,10805
32814,0.34,Ideal,E,VS1,62.0,56.0,4.48,4.52,2.79,805
2928,0.91,Very Good,J,VS2,61.6,59.0,6.13,6.25,3.81,3290
26050,1.52,Ideal,D,VS2,62.3,56.0,7.41,7.32,4.59,15252
37703,0.41,Very Good,D,VS2,59.2,58.0,4.83,4.87,2.87,995
5392,0.3,Premium,D,SI2,60.9,58.0,4.32,4.29,2.62,574
1945,0.81,Premium,G,VS2,61.2,60.0,6.0,5.99,3.67,3084
29787,0.3,Ideal,D,SI1,61.4,55.0,4.34,4.29,2.65,709
42512,0.54,Good,E,SI1,57.2,59.0,5.37,5.32,3.06,1323
26187,1.3,Ideal,D,VVS1,61.6,55.7,6.98,7.02,4.31,15535
33397,0.39,Ideal,F,VS2,62.1,53.0,4.73,4.77,2.95,828
15996,1.0,Premium,E,VS2,62.9,58.0,6.36,6.29,3.98,6400
44027,0.51,Ideal,E,SI1,62.7,55.0,5.1,5.07,3.19,1546
10218,1.15,Very Good,H,SI2,62.0,58.0,6.66,6.7,4.14,4743
5271,0.79,Very Good,E,VVS1,63.1,60.0,5.88,5.84,3.7,3796
35322,0.31,Ideal,F,VVS1,61.8,56.0,4.34,4.36,2.69,897
25068,1.06,Ideal,D,VVS2,61.9,56.0,6.51,6.54,4.04,13588
26368,0.32,Very Good,F,VS2,59.5,61.0,4.42,4.46,2.64,645
16991,1.01,Ideal,E,VS2,61.9,55.0,6.44,6.38,3.97,6787
21230,1.25,Very Good,F,VS2,62.5,59.0,6.81,6.89,4.28,9377
35059,0.4,Premium,D,SI1,60.9,60.0,4.78,4.74,2.9,884
78,0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53,554
33106,0.39,Ideal,G,VS2,62.0,57.0,4.68,4.74,2.92,816
53011,0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47,2596
14158,1.31,Premium,I,SI2,59.1,59.0,7.2,7.15,4.24,5744
3492,1.01,Good,J,SI1,62.8,58.0,6.28,6.33,3.96,3399
15293,1.17,Ideal,G,VS2,61.5,57.0,6.86,6.8,4.2,6139
41269,0.31,Ideal,I,VS1,61.7,54.6,4.38,4.39,2.71,502
36309,0.32,Ideal,H,VVS1,61.6,55.0,4.43,4.4,2.72,936
31354,0.27,Ideal,F,IF,61.3,57.0,4.16,4.2,2.56,760
35282,0.3,Premium,H,SI2,60.9,59.0,4.35,4.32,2.64,473
7847,1.01,Very Good,F,SI2,59.1,57.0,6.57,6.62,3.9,4304
44404,0.55,Ideal,H,SI1,60.8,56.0,5.3,5.33,3.23,1584
51250,0.72,Ideal,E,SI2,62.4,57.0,5.73,5.77,3.59,2355
544,0.8,Good,E,SI2,63.7,54.0,5.91,5.87,3.75,2829
50874,0.52,Very Good,F,VVS1,62.0,57.0,5.11,5.15,3.18,2314
494,0.73,Ideal,F,SI1,62.1,55.0,5.75,5.78,3.58,2822
40625,0.41,Ideal,E,VS1,60.9,57.0,4.79,4.76,2.91,1153
37515,0.44,Very Good,H,VVS1,61.0,59.0,4.87,4.9,2.98,986
45124,0.85,Fair,G,I1,62.7,60.0,6.05,5.96,3.77,1651
16717,0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,609
41073,0.41,Ideal,F,VVS2,60.1,57.0,4.85,4.83,2.91,1192
52074,0.7,Very Good,F,VS2,63.4,56.0,5.69,5.63,3.59,2455
50392,0.76,Ideal,F,SI2,61.6,57.0,5.91,5.85,3.62,2253
28830,0.41,Very Good,H,SI1,60.0,61.0,4.77,4.83,2.88,683
29453,0.38,Very Good,H,SI2,63.4,57.0,4.63,4.58,2.92,702
17302,1.05,Ideal,F,VS2,62.8,57.0,6.48,6.45,4.06,6933
23254,1.51,Very Good,E,SI1,61.4,60.0,7.3,7.38,4.51,11263
1551,0.8,Premium,G,VS2,60.6,59.0,6.02,5.97,3.63,3002
24437,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,12693
23760,1.41,Ideal,G,VS1,62.6,56.0,7.15,7.2,4.49,11817
3480,0.61,Ideal,D,VVS2,62.2,54.0,5.41,5.45,3.38,3397
2737,0.71,Ideal,E,VS2,62.5,55.0,5.67,5.73,3.56,3247
11095,1.1,Premium,F,SI2,62.0,59.0,6.62,6.6,4.1,4928
16337,1.1,Ideal,G,VS2,62.0,56.0,6.6,6.68,4.12,6534
32293,0.3,Ideal,H,VS2,61.4,57.0,4.33,4.36,2.67,454
27894,0.32,Ideal,I,IF,61.7,55.0,4.4,4.42,2.72,655
40389,0.53,Good,H,SI1,63.9,55.0,5.14,5.19,3.3,1132
24008,1.5,Very Good,D,SI1,61.0,59.0,7.33,7.39,4.49,12179
27118,2.35,Premium,I,SI2,59.9,58.0,8.68,8.61,5.18,17294
38774,0.31,Ideal,E,VVS2,61.6,57.0,4.37,4.33,2.68,1046
31166,0.41,Good,E,SI1,63.9,58.0,4.7,4.72,3.01,755
14202,1.01,Premium,G,VS2,61.2,58.0,6.46,6.49,3.96,5759
29895,0.3,Premium,D,VS2,61.7,59.0,4.25,4.28,2.63,710
32967,0.32,Good,H,SI1,63.1,58.0,4.33,4.36,2.74,461
19342,1.06,Premium,E,VS1,63.0,58.0,6.49,6.46,4.08,8044
50154,0.75,Premium,G,SI2,61.0,58.0,5.9,5.94,3.61,2216
48187,0.91,Good,J,I1,63.1,57.0,6.06,6.12,3.84,1945
6106,0.9,Good,G,VS1,64.5,57.0,6.01,6.08,3.9,3977
37889,0.36,Ideal,G,IF,62.0,57.0,4.54,4.58,2.82,1006
30047,0.41,Premium,G,SI1,62.7,58.0,4.7,4.74,2.96,719
20552,2.0,Very Good,J,SI2,62.1,63.0,7.96,7.85,4.91,8870
2648,0.59,Very Good,D,VVS1,61.8,57.0,5.37,5.41,3.33,3234
10725,0.31,Premium,D,SI2,62.9,59.0,4.31,4.28,2.7,593
21024,1.51,Premium,H,VS1,59.8,61.0,7.41,7.35,4.41,9234
11297,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4979
13680,1.19,Ideal,E,SI2,61.9,56.0,6.84,6.8,4.22,5598
20131,1.12,Ideal,G,VVS2,62.5,56.0,6.59,6.66,4.14,8592
38966,0.27,Ideal,G,VS2,61.6,54.0,4.17,4.2,2.58,490
53326,0.72,Ideal,I,VVS1,61.3,57.0,5.75,5.77,3.53,2654
48529,0.55,Very Good,E,VS1,61.6,55.0,5.26,5.28,3.25,1986
28455,0.41,Good,G,SI1,63.4,57.0,4.7,4.73,2.99,671
36815,0.51,Premium,I,SI2,60.4,59.0,5.2,5.17,3.13,956
14539,1.21,Very Good,H,SI1,63.1,60.0,6.74,6.69,4.24,5871
43347,0.51,Ideal,F,SI1,61.3,56.0,5.19,5.16,3.17,1406
13508,1.01,Good,D,SI1,63.8,58.0,6.38,6.34,4.06,5543
45740,0.55,Ideal,F,SI1,61.9,55.0,5.25,5.29,3.26,1700
49914,0.5,Good,E,VVS2,58.9,61.0,5.18,5.2,3.06,2183
13978,1.27,Very Good,J,VS1,63.4,60.0,6.85,6.8,4.33,5690
13471,1.07,Ideal,G,SI1,61.7,54.0,6.59,6.61,4.07,5532
45013,0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,1637
5843,1.01,Premium,F,SI1,62.8,59.0,6.4,6.36,4.01,3920
42480,0.43,Ideal,G,IF,61.3,56.0,4.86,4.9,2.99,1318
22573,1.51,Premium,I,VVS2,61.1,60.0,7.33,7.36,4.49,10623
8566,1.0,Very Good,E,SI2,60.5,59.0,6.44,6.48,3.91,4435
17565,1.2,Ideal,H,VS2,62.8,57.0,6.75,6.79,4.25,7072
53789,0.73,Ideal,D,SI2,61.8,56.0,5.77,5.82,3.58,2729
37668,0.42,Premium,E,SI1,62.3,58.0,4.81,4.76,2.98,992
17785,1.0,Premium,G,VS1,59.7,59.0,6.57,6.5,3.9,7164
32863,0.32,Ideal,D,VS2,61.5,55.0,4.43,4.45,2.73,808
34677,0.3,Ideal,G,VVS1,62.1,56.0,4.35,4.28,2.68,873
9546,1.0,Very Good,E,SI2,61.4,61.0,6.36,6.41,3.92,4620
7293,0.9,Very Good,E,SI1,62.1,59.0,6.13,6.17,3.82,4201
23366,0.31,Ideal,I,VS1,61.7,55.0,4.36,4.39,2.7,424
4438,0.74,Very Good,E,VVS2,61.9,59.0,5.74,5.77,3.56,3616
39839,0.52,Ideal,H,SI1,61.9,56.0,5.16,5.22,3.2,1098
29716,0.31,Ideal,G,VVS2,61.9,55.0,4.33,4.36,2.69,707
8495,0.92,Premium,F,SI1,62.1,60.0,6.22,6.21,3.86,4420
2141,0.83,Ideal,E,SI2,61.3,57.0,6.02,6.05,3.7,3125
28077,0.4,Ideal,J,VVS2,61.8,55.0,4.76,4.79,2.95,662
7224,0.9,Good,D,SI1,63.8,58.0,6.09,6.13,3.9,4193
41160,0.38,Ideal,F,VVS1,61.9,54.0,4.67,4.7,2.9,1200
21966,1.5,Good,G,VS1,63.6,57.0,7.23,7.14,4.57,10036
47760,0.52,Ideal,H,VVS1,61.7,53.0,5.19,5.25,3.22,1893
35482,0.31,Ideal,E,VVS1,61.0,57.0,4.39,4.37,2.67,903
47355,0.5,Premium,D,VS2,60.2,57.0,5.21,5.15,3.12,1845
1383,0.3,Very Good,H,VVS2,62.0,56.0,4.28,4.3,2.66,559
20285,1.27,Premium,G,VS2,61.0,60.0,6.97,6.93,4.24,8705
46689,0.52,Ideal,H,VS1,61.7,55.0,5.21,5.17,3.2,1790
36632,0.41,Premium,D,SI1,59.2,62.0,4.85,4.82,2.86,947
44416,0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,1586
16857,1.43,Fair,I,VS1,50.8,60.0,7.73,7.25,3.93,6727
33969,0.32,Ideal,E,VS2,60.9,56.0,4.45,4.48,2.72,846
46970,0.32,Ideal,I,VS1,60.9,56.7,4.41,4.44,2.69,529
8615,0.8,Good,E,VS1,60.2,54.0,6.04,6.01,3.63,4444
25717,2.17,Very Good,H,SI2,58.8,62.0,8.48,8.53,5.0,14625
41636,0.32,Ideal,J,VS2,62.2,57.0,4.38,4.36,2.72,504
26041,1.91,Very Good,G,SI1,63.1,59.0,7.9,7.86,4.97,15241
14417,1.05,Premium,E,SI1,61.8,56.0,6.57,6.5,4.04,5821
52484,0.82,Ideal,I,VS1,62.3,57.0,5.98,6.02,3.74,2522
20855,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,9076
8626,0.93,Premium,D,SI1,60.8,59.0,6.27,6.24,3.8,4448
40021,0.32,Ideal,E,VVS2,62.4,56.0,4.43,4.39,2.75,1109
15222,1.07,Premium,D,SI1,60.2,55.0,6.68,6.64,4.01,6112
36840,0.37,Very Good,G,VS1,63.1,56.0,4.59,4.57,2.89,957
26720,0.32,Very Good,F,VS2,61.0,61.0,4.38,4.41,2.68,645
52899,0.78,Very Good,F,SI2,62.4,59.0,5.86,5.91,3.67,2586
45785,0.55,Premium,E,VS2,58.1,62.0,5.46,5.38,3.15,1708
27724,2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,18741
24391,1.7,Very Good,I,VS1,59.8,59.0,7.7,7.79,4.63,12622
45930,0.61,Very Good,E,SI1,60.1,59.0,5.48,5.51,3.3,1721
40164,0.31,Premium,E,VVS2,62.2,56.0,4.31,4.28,2.67,1116
1760,0.78,Very Good,F,SI1,62.4,58.0,5.83,5.86,3.65,3045
28751,0.31,Very Good,E,VS2,62.9,57.0,4.3,4.35,2.72,680
831,0.8,Premium,H,VS2,61.2,53.0,6.05,5.98,3.68,2867
28612,0.3,Very Good,E,SI1,63.2,57.0,4.3,4.25,2.7,675
44451,0.56,Ideal,G,SI1,62.3,53.0,5.31,5.28,3.3,1591
7807,1.05,Very Good,I,SI1,63.5,58.0,6.46,6.43,4.09,4292
19156,1.02,Ideal,F,VS1,61.5,56.0,6.47,6.5,3.99,7916
13396,0.32,Very Good,F,VS2,58.8,62.0,4.43,4.48,2.62,602
27547,1.61,Ideal,D,VS2,62.0,55.0,7.51,7.5,4.67,18318
39846,0.51,Very Good,F,SI2,62.7,56.0,5.07,5.1,3.19,1100
7803,1.02,Very Good,G,SI2,61.6,61.0,6.46,6.47,3.98,4291
35866,0.41,Good,H,VS2,64.1,57.0,4.72,4.64,3.0,917
13865,1.29,Ideal,J,VS2,60.9,58.0,7.05,7.0,4.28,5646
43572,0.41,Premium,E,VVS1,60.7,58.0,4.86,4.8,2.93,1431
33736,0.33,Ideal,D,VS1,61.0,56.0,4.45,4.47,2.72,839
7507,1.02,Very Good,F,SI2,60.3,59.0,6.5,6.53,3.93,4241
33077,0.26,Premium,E,VVS1,60.9,59.0,4.12,4.09,2.5,814
13691,1.01,Premium,F,SI1,61.9,56.0,6.53,6.45,4.02,5599
7146,0.93,Ideal,E,SI1,62.0,56.0,6.25,6.29,3.89,4179
4083,0.78,Ideal,F,VS2,62.3,56.0,5.91,5.88,3.67,3531
23174,1.5,Premium,H,VS1,62.1,59.0,7.31,7.27,4.53,11189
44853,0.5,Good,F,VS2,57.7,61.0,5.28,5.25,3.04,1626
36297,0.34,Premium,H,SI1,60.2,58.0,4.48,4.52,2.71,477
14031,1.01,Very Good,D,SI2,63.1,54.0,6.39,6.35,4.02,5703
40862,0.52,Very Good,E,SI2,62.4,59.0,5.13,5.16,3.21,1175
21725,1.11,Very Good,F,VVS2,60.8,57.0,6.7,6.73,4.08,9792
16496,2.01,Very Good,H,I1,58.1,63.0,8.3,8.19,4.79,6592
4579,0.92,Premium,G,SI2,62.9,58.0,6.21,6.15,3.89,3650
10746,1.0,Very Good,F,SI1,62.8,59.0,6.32,6.36,3.98,4851
39125,0.41,Premium,G,VS2,61.3,57.0,4.8,4.76,2.93,1061
28460,0.32,Very Good,G,VVS2,61.3,57.0,4.39,4.43,2.7,672
32142,0.32,Ideal,G,VVS1,61.8,56.0,4.39,4.41,2.72,786
42652,0.4,Very Good,E,VVS1,62.8,57.0,4.65,4.71,2.94,1333
22144,2.09,Premium,H,SI2,61.0,60.0,8.28,8.19,5.02,10182
1879,1.03,Premium,G,I1,60.8,57.0,6.55,6.51,3.97,3073
26785,2.1,Ideal,H,SI2,63.0,57.0,8.13,8.08,5.11,16629
6045,0.32,Ideal,E,SI2,62.7,57.0,4.37,4.34,2.73,576
50831,0.61,Ideal,G,VS1,62.6,55.0,5.46,5.43,3.41,2309
33252,0.32,Ideal,E,VS1,61.5,55.0,4.43,4.45,2.73,825
34183,0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,854
31258,0.32,Ideal,D,VS2,61.9,55.0,4.39,4.43,2.73,758
44206,0.5,Ideal,G,VS1,62.0,54.0,5.11,5.15,3.18,1569
33346,0.41,Ideal,G,VS2,62.7,56.0,4.71,4.76,2.97,827
30011,0.42,Very Good,F,SI1,63.1,56.0,4.77,4.8,3.02,717
52600,0.71,Very Good,G,VS2,61.5,57.0,5.69,5.73,3.51,2543
31317,0.32,Ideal,D,VS2,62.2,56.0,4.36,4.39,2.72,758
25456,2.3,Ideal,H,SI2,62.6,57.0,8.4,8.35,5.25,14215
52494,0.51,Ideal,E,VVS1,62.3,53.7,5.1,5.12,3.19,2524
